Date,Description,Category,Amount
2026-06-01,Grocery Store,Groceries,2500
2026-06-02,Bus Fare,Transport,100
2026-06-03,Mobile Load,Utilities,500
2026-06-05,Netflix,Entertainment,1200
2026-06-06,Coffee Shop,Food,450
2026-06-08,Foodpanda,Food,1800
2026-06-10,Netflix,Entertainment,1200
2026-06-12,Grocery Store,Groceries,2700
2026-06-15,Spotify,Entertainment,350
2026-06-18,Foodpanda,Food,1800
2026-06-20,Spotify,Entertainment,350
2026-06-22,Electricity Bill,Utilities,3200
2026-06-24,Uber,Transport,600
2026-06-25,Uber,Transport,600
2026-06-27,Restaurant,Food,2200
2026-06-28,Amazon Shopping,Shopping,4500
2026-06-29,Grocery Store,Groceries,1800
2026-06-30,Internet Bill,Utilities,2500
